timestamp,frame_idx,emotion
2025-05-25T13:57:27.978739,1,angry
2025-05-25T13:57:29.328683,2,fear
2025-05-25T13:57:29.863137,3,happy
2025-05-25T13:57:30.493102,4,fear
2025-05-25T13:57:31.038871,5,fear
2025-05-25T13:57:31.680547,6,fear
2025-05-25T13:57:32.126067,7,neutral
2025-05-25T13:57:32.570455,8,happy
2025-05-25T13:57:33.043697,9,surprise
2025-05-25T13:57:33.506685,10,surprise
2025-05-25T13:57:34.046421,11,happy
2025-05-25T13:57:34.552337,12,happy
2025-05-25T13:57:34.785010,13,neutral
2025-05-25T13:57:34.989251,14,sad
2025-05-25T13:57:35.206988,15,happy
2025-05-25T13:57:35.428555,16,neutral
2025-05-25T13:57:35.634255,17,neutral
2025-05-25T13:57:35.839160,18,happy
2025-05-25T13:57:36.354355,19,happy
2025-05-25T13:57:36.865803,20,happy
2025-05-25T13:57:37.387001,21,happy
2025-05-25T13:57:37.962654,22,happy
2025-05-25T13:57:38.475153,23,happy
2025-05-25T13:57:38.733127,24,happy
2025-05-25T13:57:39.264886,25,happy
2025-05-25T13:57:39.737004,26,happy
2025-05-25T13:57:40.253093,27,happy
2025-05-25T13:57:40.750020,28,happy
2025-05-25T13:57:41.187102,29,happy
2025-05-25T13:57:41.677727,30,surprise
2025-05-25T13:57:42.184506,31,happy
2025-05-25T13:57:42.776539,32,happy
2025-05-25T13:57:43.664594,33,happy
2025-05-25T13:57:44.333292,34,happy
2025-05-25T13:57:44.817209,35,happy
2025-05-25T13:57:45.061429,36,happy
2025-05-25T13:57:45.546092,37,happy
2025-05-25T13:57:45.824605,38,happy
2025-05-25T13:57:46.399879,39,happy
2025-05-25T13:57:46.699459,40,happy
2025-05-25T13:57:47.271105,41,happy
2025-05-25T13:57:47.835391,42,happy
2025-05-25T13:57:48.758476,43,sad
2025-05-25T13:57:49.575681,44,happy
2025-05-25T13:57:50.396674,45,happy
2025-05-25T13:57:50.921404,46,happy
2025-05-25T13:57:51.502226,47,happy
2025-05-25T13:57:51.927911,48,neutral
2025-05-25T13:57:52.597204,49,neutral
2025-05-25T13:57:53.378116,50,happy
2025-05-25T13:57:53.958231,51,sad
2025-05-25T13:57:54.620993,52,sad
2025-05-25T13:57:55.151002,53,neutral
2025-05-25T13:57:56.159629,54,sad
2025-05-25T13:57:56.925589,55,happy
2025-05-25T13:57:57.492169,56,sad
2025-05-25T13:57:58.208235,57,angry
